2023-07-01 09:37:46,803 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@6a41eaa2: startup date [Sat Jul 01 09:37:46 CEST 2023]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2023-07-01 09:37:47,889 | INFO  | jolokia-agent: No access restrictor found at classpath:/jolokia-access.xml, access to all MBeans is allowed | /api | main
2023-07-01 10:02:13,194 | WARN  | Transport Connection to: tcp://127.0.0.1:51377 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:51377@61616
2023-07-01 10:02:30,166 | WARN  | Transport Connection to: tcp://127.0.0.1:51387 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:51387@61616
2023-07-01 10:05:32,587 | WARN  | Transport Connection to: tcp://127.0.0.1:51419 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:51419@61616
2023-07-01 10:05:34,483 | WARN  | Transport Connection to: tcp://127.0.0.1:51427 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:51427@61616
2023-07-01 10:06:56,674 | WARN  | Transport Connection to: tcp://127.0.0.1:51458 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:51458@61616
2023-07-02 15:33:38,847 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@6a41eaa2: startup date [Sun Jul 02 15:33:38 CEST 2023]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2023-07-02 15:33:39,373 | INFO  | PListStore:[H:\Download\apache-activemq-5.9.1\bin\..\data\localhost\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2023-07-02 15:33:39,384 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[H:\Download\apache-activemq-5.9.1\bin\..\data\kahadb] | org.apache.activemq.broker.BrokerService | main
2023-07-02 15:33:39,616 | INFO  | KahaDB is version 5 | org.apache.activemq.store.kahadb.MessageDatabase | main
2023-07-02 15:33:39,634 | INFO  | Recovering from the journal ... | org.apache.activemq.store.kahadb.MessageDatabase | main
2023-07-02 15:33:39,644 | INFO  | Recovery replayed 179 operations from the journal in 0.02 seconds. | org.apache.activemq.store.kahadb.MessageDatabase | main
2023-07-02 15:33:39,783 | INFO  | Apache ActiveMQ 5.9.1 (localhost, ID:DESKTOP-EGLKD70-52273-1688304819662-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2023-07-02 15:33:39,843 | INFO  | Listening for connections at: tcp://DESKTOP-EGLKD70:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2023-07-02 15:33:39,844 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2023-07-02 15:33:39,846 | INFO  | Listening for connections at: amqp://DESKTOP-EGLKD70:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2023-07-02 15:33:39,846 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | main
2023-07-02 15:33:39,848 | INFO  | Listening for connections at: stomp://DESKTOP-EGLKD70:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2023-07-02 15:33:39,848 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | main
2023-07-02 15:33:39,851 | INFO  | Listening for connections at: mqtt://DESKTOP-EGLKD70:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2023-07-02 15:33:39,851 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | main
2023-07-02 15:33:39,926 | INFO  | Listening for connections at ws://DESKTOP-EGLKD70:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | main
2023-07-02 15:33:39,926 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | main
2023-07-02 15:33:39,927 | INFO  | Apache ActiveMQ 5.9.1 (localhost, ID:DESKTOP-EGLKD70-52273-1688304819662-0:1) started | org.apache.activemq.broker.BrokerService | main
2023-07-02 15:33:39,927 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2023-07-02 15:33:40,202 | INFO  | ActiveMQ WebConsole available at http://localhost:8161/ | org.apache.activemq.web.WebConsoleStarter | main
2023-07-02 15:33:40,238 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2023-07-02 15:33:40,363 | INFO  | jolokia-agent: No access restrictor found at classpath:/jolokia-access.xml, access to all MBeans is allowed | /api | main
2023-07-02 15:34:09,579 | WARN  | Transport Connection to: tcp://127.0.0.1:52294 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:52294@61616
2023-07-02 15:40:20,320 | WARN  | Transport Connection to: tcp://127.0.0.1:52406 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:52406@61616
2023-07-02 15:42:00,371 | WARN  | Transport Connection to: tcp://127.0.0.1:52438 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:52438@61616
2023-07-02 15:48:58,201 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@6a41eaa2: startup date [Sun Jul 02 15:48:58 CEST 2023]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2023-07-02 15:48:58,596 | INFO  | PListStore:[H:\Download\apache-activemq-5.9.1\bin\..\data\localhost\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2023-07-02 15:48:58,605 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[H:\Download\apache-activemq-5.9.1\bin\..\data\kahadb] | org.apache.activemq.broker.BrokerService | main
2023-07-02 15:48:58,802 | INFO  | KahaDB is version 5 | org.apache.activemq.store.kahadb.MessageDatabase | main
2023-07-02 15:48:58,819 | INFO  | Recovering from the journal ... | org.apache.activemq.store.kahadb.MessageDatabase | main
2023-07-02 15:48:58,831 | INFO  | Recovery replayed 280 operations from the journal in 0.022 seconds. | org.apache.activemq.store.kahadb.MessageDatabase | main
2023-07-02 15:48:58,956 | INFO  | Apache ActiveMQ 5.9.1 (localhost, ID:DESKTOP-EGLKD70-52605-1688305738843-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2023-07-02 15:48:58,998 | INFO  | Listening for connections at: tcp://DESKTOP-EGLKD70:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2023-07-02 15:48:58,998 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2023-07-02 15:48:59,000 | INFO  | Listening for connections at: amqp://DESKTOP-EGLKD70:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2023-07-02 15:48:59,000 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | main
2023-07-02 15:48:59,002 | INFO  | Listening for connections at: stomp://DESKTOP-EGLKD70:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2023-07-02 15:48:59,002 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | main
2023-07-02 15:48:59,004 | INFO  | Listening for connections at: mqtt://DESKTOP-EGLKD70:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2023-07-02 15:48:59,004 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | main
2023-07-02 15:48:59,070 | INFO  | Listening for connections at ws://DESKTOP-EGLKD70:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | main
2023-07-02 15:48:59,070 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | main
2023-07-02 15:48:59,070 | INFO  | Apache ActiveMQ 5.9.1 (localhost, ID:DESKTOP-EGLKD70-52605-1688305738843-0:1) started | org.apache.activemq.broker.BrokerService | main
2023-07-02 15:48:59,070 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2023-07-02 15:48:59,275 | INFO  | ActiveMQ WebConsole available at http://localhost:8161/ | org.apache.activemq.web.WebConsoleStarter | main
2023-07-02 15:48:59,309 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2023-07-02 15:48:59,430 | INFO  | jolokia-agent: No access restrictor found at classpath:/jolokia-access.xml, access to all MBeans is allowed | /api | main
2023-07-02 15:50:01,015 | WARN  | Transport Connection to: tcp://127.0.0.1:52628 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:52628@61616
2023-07-02 15:51:33,751 | WARN  | Transport Connection to: tcp://127.0.0.1:52677 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:52677@61616
2023-07-02 15:54:39,521 | WARN  | Transport Connection to: tcp://127.0.0.1:52732 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:52732@61616
2023-07-02 15:57:29,336 | WARN  | Transport Connection to: tcp://127.0.0.1:52779 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:52779@61616
2023-07-02 15:58:00,324 | WARN  | Transport Connection to: tcp://127.0.0.1:52813 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:52813@61616
2023-07-02 19:25:17,993 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@6a41eaa2: startup date [Sun Jul 02 19:25:17 CEST 2023]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2023-07-02 19:25:18,373 | INFO  | PListStore:[H:\Download\apache-activemq-5.9.1\bin\..\data\localhost\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2023-07-02 19:25:18,383 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[H:\Download\apache-activemq-5.9.1\bin\..\data\kahadb] | org.apache.activemq.broker.BrokerService | main
2023-07-02 19:25:18,561 | INFO  | KahaDB is version 5 | org.apache.activemq.store.kahadb.MessageDatabase | main
2023-07-02 19:25:18,577 | INFO  | Recovering from the journal ... | org.apache.activemq.store.kahadb.MessageDatabase | main
2023-07-02 19:25:18,619 | INFO  | Recovery replayed 1540 operations from the journal in 0.052 seconds. | org.apache.activemq.store.kahadb.MessageDatabase | main
2023-07-02 19:25:18,744 | INFO  | Apache ActiveMQ 5.9.1 (localhost, ID:DESKTOP-EGLKD70-55905-1688318718630-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2023-07-02 19:25:18,786 | INFO  | Listening for connections at: tcp://DESKTOP-EGLKD70:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2023-07-02 19:25:18,786 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2023-07-02 19:25:18,788 | INFO  | Listening for connections at: amqp://DESKTOP-EGLKD70:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2023-07-02 19:25:18,788 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | main
2023-07-02 19:25:18,790 | INFO  | Listening for connections at: stomp://DESKTOP-EGLKD70:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2023-07-02 19:25:18,790 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | main
2023-07-02 19:25:18,792 | INFO  | Listening for connections at: mqtt://DESKTOP-EGLKD70:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2023-07-02 19:25:18,792 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | main
2023-07-02 19:25:18,863 | INFO  | Listening for connections at ws://DESKTOP-EGLKD70:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | main
2023-07-02 19:25:18,863 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | main
2023-07-02 19:25:18,863 | INFO  | Apache ActiveMQ 5.9.1 (localhost, ID:DESKTOP-EGLKD70-55905-1688318718630-0:1) started | org.apache.activemq.broker.BrokerService | main
2023-07-02 19:25:18,863 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2023-07-02 19:25:19,071 | INFO  | ActiveMQ WebConsole available at http://localhost:8161/ | org.apache.activemq.web.WebConsoleStarter | main
2023-07-02 19:25:19,107 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2023-07-02 19:25:19,230 | INFO  | jolokia-agent: No access restrictor found at classpath:/jolokia-access.xml, access to all MBeans is allowed | /api | main
2023-07-02 19:26:53,049 | WARN  | Transport Connection to: tcp://127.0.0.1:55940 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:55940@61616
2023-07-02 19:26:53,445 | WARN  | Transport Connection to: tcp://127.0.0.1:55948 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:55948@61616
2023-07-02 19:29:48,201 | WARN  | Transport Connection to: tcp://127.0.0.1:56002 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56002@61616
2023-07-02 19:29:48,475 | WARN  | Transport Connection to: tcp://127.0.0.1:56010 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56010@61616
2023-07-02 21:27:04,893 | WARN  | Transport Connection to: tcp://127.0.0.1:57074 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:57074@61616
2023-07-02 21:27:05,203 | WARN  | Transport Connection to: tcp://127.0.0.1:57082 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:57082@61616
2023-07-03 15:23:23,676 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@6a41eaa2: startup date [Mon Jul 03 15:23:23 CEST 2023]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2023-07-03 15:23:24,109 | INFO  | PListStore:[H:\Download\apache-activemq-5.9.1\bin\..\data\localhost\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2023-07-03 15:23:24,119 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[H:\Download\apache-activemq-5.9.1\bin\..\data\kahadb] | org.apache.activemq.broker.BrokerService | main
2023-07-03 15:23:24,412 | INFO  | KahaDB is version 5 | org.apache.activemq.store.kahadb.MessageDatabase | main
2023-07-03 15:23:24,434 | INFO  | Recovering from the journal ... | org.apache.activemq.store.kahadb.MessageDatabase | main
2023-07-03 15:23:24,476 | INFO  | Recovery replayed 1430 operations from the journal in 0.055 seconds. | org.apache.activemq.store.kahadb.MessageDatabase | main
2023-07-03 15:23:24,606 | INFO  | Apache ActiveMQ 5.9.1 (localhost, ID:DESKTOP-EGLKD70-59785-1688390604490-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2023-07-03 15:23:24,655 | INFO  | Listening for connections at: tcp://DESKTOP-EGLKD70:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2023-07-03 15:23:24,655 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2023-07-03 15:23:24,657 | INFO  | Listening for connections at: amqp://DESKTOP-EGLKD70:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2023-07-03 15:23:24,657 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | main
2023-07-03 15:23:24,659 | INFO  | Listening for connections at: stomp://DESKTOP-EGLKD70:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2023-07-03 15:23:24,660 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | main
2023-07-03 15:23:24,661 | INFO  | Listening for connections at: mqtt://DESKTOP-EGLKD70:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2023-07-03 15:23:24,662 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | main
2023-07-03 15:23:24,734 | INFO  | Listening for connections at ws://DESKTOP-EGLKD70:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | main
2023-07-03 15:23:24,734 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | main
2023-07-03 15:23:24,734 | INFO  | Apache ActiveMQ 5.9.1 (localhost, ID:DESKTOP-EGLKD70-59785-1688390604490-0:1) started | org.apache.activemq.broker.BrokerService | main
2023-07-03 15:23:24,734 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2023-07-03 15:23:25,052 | INFO  | ActiveMQ WebConsole available at http://localhost:8161/ | org.apache.activemq.web.WebConsoleStarter | main
2023-07-03 15:23:25,086 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2023-07-03 15:23:25,231 | INFO  | jolokia-agent: No access restrictor found at classpath:/jolokia-access.xml, access to all MBeans is allowed | /api | main
2023-07-03 15:40:55,952 | WARN  | Transport Connection to: tcp://127.0.0.1:60097 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:60097@61616
2023-07-03 15:40:56,903 | WARN  | Transport Connection to: tcp://127.0.0.1:60103 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:60103@61616
2023-07-03 15:41:45,800 | WARN  | Transport Connection to: tcp://127.0.0.1:60128 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:60128@61616
2023-07-03 16:18:21,995 | WARN  | Transport Connection to: tcp://127.0.0.1:60683 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:60683@61616
2023-07-03 16:18:22,310 | WARN  | Transport Connection to: tcp://127.0.0.1:60696 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:60696@61616
2023-07-03 16:21:31,459 | WARN  | Transport Connection to: tcp://127.0.0.1:60716 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:60716@61616
2023-07-03 16:21:36,989 | WARN  | Transport Connection to: tcp://127.0.0.1:60721 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:60721@61616
2023-07-08 12:09:08,210 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@6a41eaa2: startup date [Sat Jul 08 12:09:08 CEST 2023]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2023-07-08 12:09:08,750 | INFO  | PListStore:[H:\Download\apache-activemq-5.9.1\bin\..\data\localhost\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2023-07-08 12:09:08,760 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[H:\Download\apache-activemq-5.9.1\bin\..\data\kahadb] | org.apache.activemq.broker.BrokerService | main
2023-07-08 12:09:09,071 | INFO  | KahaDB is version 5 | org.apache.activemq.store.kahadb.MessageDatabase | main
2023-07-08 12:09:09,092 | INFO  | Recovering from the journal ... | org.apache.activemq.store.kahadb.MessageDatabase | main
2023-07-08 12:09:09,098 | INFO  | Recovery replayed 61 operations from the journal in 0.02 seconds. | org.apache.activemq.store.kahadb.MessageDatabase | main
2023-07-08 12:09:09,226 | INFO  | Apache ActiveMQ 5.9.1 (localhost, ID:DESKTOP-EGLKD70-51037-1688810949111-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2023-07-08 12:09:09,280 | INFO  | Listening for connections at: tcp://DESKTOP-EGLKD70:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2023-07-08 12:09:09,280 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2023-07-08 12:09:09,282 | INFO  | Listening for connections at: amqp://DESKTOP-EGLKD70:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2023-07-08 12:09:09,282 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | main
2023-07-08 12:09:09,284 | INFO  | Listening for connections at: stomp://DESKTOP-EGLKD70:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2023-07-08 12:09:09,284 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | main
2023-07-08 12:09:09,287 | INFO  | Listening for connections at: mqtt://DESKTOP-EGLKD70:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2023-07-08 12:09:09,287 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | main
2023-07-08 12:09:09,363 | INFO  | Listening for connections at ws://DESKTOP-EGLKD70:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | main
2023-07-08 12:09:09,363 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | main
2023-07-08 12:09:09,364 | INFO  | Apache ActiveMQ 5.9.1 (localhost, ID:DESKTOP-EGLKD70-51037-1688810949111-0:1) started | org.apache.activemq.broker.BrokerService | main
2023-07-08 12:09:09,364 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2023-07-08 12:09:09,669 | INFO  | ActiveMQ WebConsole available at http://localhost:8161/ | org.apache.activemq.web.WebConsoleStarter | main
2023-07-08 12:09:09,707 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2023-07-08 12:09:09,877 | INFO  | jolokia-agent: No access restrictor found at classpath:/jolokia-access.xml, access to all MBeans is allowed | /api | main
2023-07-09 15:19:03,837 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@6a41eaa2: startup date [Sun Jul 09 15:19:03 CEST 2023]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2023-07-09 15:19:04,317 | INFO  | PListStore:[H:\Download\apache-activemq-5.9.1\bin\..\data\localhost\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2023-07-09 15:19:04,327 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[H:\Download\apache-activemq-5.9.1\bin\..\data\kahadb] | org.apache.activemq.broker.BrokerService | main
2023-07-09 15:19:04,616 | INFO  | KahaDB is version 5 | org.apache.activemq.store.kahadb.MessageDatabase | main
2023-07-09 15:19:04,639 | INFO  | Recovering from the journal ... | org.apache.activemq.store.kahadb.MessageDatabase | main
2023-07-09 15:19:04,645 | INFO  | Recovery replayed 71 operations from the journal in 0.022 seconds. | org.apache.activemq.store.kahadb.MessageDatabase | main
2023-07-09 15:19:04,775 | INFO  | Apache ActiveMQ 5.9.1 (localhost, ID:DESKTOP-EGLKD70-52347-1688908744657-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2023-07-09 15:19:04,827 | INFO  | Listening for connections at: tcp://DESKTOP-EGLKD70:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
